歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
精 神 食 粮 ，清 晨 醒 脑,266752087,腊月十九27,介绍：旋律电音，经典,553,4832,4,1,0
「后摇」深陷前奏,569863739,恶意-__-,介绍：●卡塔西斯即拉丁语katharsis的音译 作宗教术语是“净化”“净罪”的意思，作医学术语一直被认为是 宣泄的含义，在音乐上主旨要义为，通过音乐或其他艺术宣泄过分强烈的情绪，从而恢复保持住心理情绪。,241,27581,402,17,2
「后摇」沉溺在深海之中,314994076,Ghostface_Killers,介绍：听着后摇滚超越现实的编曲风格，让他带着你看看现实的另一面吧．,50,428285,7694,223,78
旋律至上【跑步节奏感拉满】,1768716590,懒猪-w,介绍：听着音乐不自觉的就跳起来了，青海和西安都不在话下,18,87,1,0,0
熄灭的太阳和动摇的火焰——酒神颂1,4002256593,Katukv--1984,介绍：疲惫的太阳沉重地累赘灵魂，将时间拖进又一个无趣轮回。水银灯的光芒淹没了希望，灰色档案的流水线生产死亡。生于秋天的雏鸟，总逃不出严冬的意象。北风的铁蹄踏破哀号，审判一切虚构的温柔乡。不应有任何同情，这是你们对秩序信任的报偿。当所有末人的名字被遗忘，会有另一代人将白桦树歌唱。,557,145,0,0,0
【爆发后摇】一场暴雨，一声惊雷,62055733,愚者的末尾,介绍：ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀ヽヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ 、｀｀、 ｀、ヽ｀ 、｀ ヽ｀ヽ、ヽ ｀、ヽ｀｀、ヽ、｀｀、｀、ヽ｀｀、 、ヽヽ｀、｀、、ヽヽ、｀｀、 、 ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀｀ヽ、｀｀ヽ｀、、｀ヽ｀、,55,724292,18356,419,178
电影人声采样｜当孤独成为习惯,1385663515,不能辜负苏畅,介绍：Stevieboi(歌单名字提供者),53,1634334,33107,333,203
摇滚｜小众 摇滚新声代 小众宝藏乐队,532830578,港岛姐姐的妹夫,介绍：迷幻摇滚，电子摇滚，朋克，梦幻流行，后摇，独立摇滚，各种类型的新兴乐队正在崭露头角，希望把更多好听的小众乐队带给大家,95,68059,695,11,4
后摇梦境 M E E T U,52895593,拾笺,介绍：而现在天地间只剩下我一人，在此静静坐着记忆中的窗口打开了一条河流都逝去了剩下我孤悬在回忆和期待之间像是伽利略的钟摆向虚无的两侧逃遁而又永远不能远去剩下我血液闲着泪腺闲着汗腺闲着迷茫和痛苦闲着剩下我在恐惧之后在期待之前剩下我孤独在左寂寞在右像是一个假装的诗人静静和空气对话但是空气永远都不会理我这个渺小卑微的生命我蜷缩在此冰冷的地板然后坐起看着窗外阳光依旧明媚空气依旧新鲜只是青草似乎少了颜色鲜花像是失掉了芬芳也许这就是一个人的样子也许这也是我的生活,26,150846,3006,109,95
[沙鲁克汗歌曲] ♬,1375207328,DJ-鲁米尤,介绍：沙鲁克汗（ Shahrukh Khan )1965年11月2日出生于印度新德里哈里亚纳邦古尔冈，印度国宝级巨星，是印度宝莱坞当代最成功的男演员，共八次夺得印度电影观众奖,80,58,2,0,0
欧美律动：带上耳机聆听卡点的节奏,1810332492,MilanYe,介绍：我把温柔设置成了仅你可见。保持良好的审美和终身浪漫。,29,1687,507,0,0
氛围钢琴？新古典？后摇？反正没词儿,117354855,駄目少女,介绍：我的精神伴侣希望于你也是,99,5068,96,3,7
[后摇思绪浪潮] 沉入后摇海洋 与情绪共舞,1463586082,云音乐官方歌单,介绍：后摇滚是摇滚乐的一个子流派，这一概念于1994年由评论家西蒙·雷诺兹首次提出。后摇滚体现了很多流派的特点，如实验音乐、氛围音乐、太空摇滚、自由爵士、简约音乐等音乐风格元素。后摇的一个特点是，所用乐器一般与摇滚乐相同，但节奏、和声、旋律、音色及和弦进行都有别于传统摇滚，颠覆了摇滚乐的基本概念与传统架构。后摇中人声很少见，且当有人声的时候，它也不是像传统的那样作为主旋律并且有清晰的歌词，而更像一种乐器。在后摇中，人声多为很轻柔的哼唱，不规律地分布在整首歌中。,20,8420933,47158,510,348
纯吉他solo大全◊摇滚爵士后摇纯音◊持更,606981877,WuZiu,介绍：歌单无先后次序。包含中外不管大众小众的吉他手或前摇后摇乐队的音乐。还有哇，有什么错误或者有哪个吉他手或乐队我没有发现都欢迎评论告诉我啊！因为曲子太多，风格各异，建议开随机播放，听到符合心意的音乐就直接顺藤摸瓜。希望大家可以在这个歌单里发现更多自己喜欢的音乐家，风格。,965,183694,4630,89,45
什么哈曼卡顿、BOSE炸它盘它,134133025,GTRLRY,介绍：均衡器:低音最高高音最低强度深度最高混响:浴室鲸鱼:超重低音注意先后然后用音量调节好最佳效果再来杯威士忌泡枸杞精心甄选绝不敷衍低震不燥仅供发烧好吧……,437,30116,245,14,3
日喀则猩猩地堡.,1315264891,你的-BMS,介绍：日喀则猩猩地堡.宁珠.,78,123613,972,51,6
逆境无赖开司-默示录OST（动画原声）,44829537,浆糊的黎明,介绍：福本伸行“赌博系列漫画”中知名度最高的《逆境无赖系列》改编的动画！逆境无赖开司系列第一部：赌博默示录OST。讲述了小混混主角伊藤开司的血泪还债史。ざわ~ざわ~ざわ~同样类型的番中推荐《斗牌传说》、《超智游戏》、《欺诈游戏》和《逆转监督》,53,67803,815,6,21
摇滚乐迷婚礼曲目,473834830,August-放下执念,介绍：国内摇滚乐队，自我感觉适合婚礼现场的歌曲收集向，毕竟我还是一条单身狗，如果未来有机会，希望可以在我的婚礼现场播放!欢迎看到歌单的朋友，积极补充!,71,100,2,0,0
『听歌刷歌两不误』短小精悍纯音乐精选,374024623,峯哥牛逼,介绍：手工挑选时长1到2分钟的纯音乐，刷歌听歌两不误，还不影响每日推荐！,933,52523,493,15,17
「后摇」东西方后摇差异系列之旋律向,304387421,咏物派,介绍：空旷黑寂中的挣扎反抗,1895,153592,2298,116,60
边哭边摇边嗨曲~上头dj,3863906558,ai沐春风5420,介绍：有一天我突然想明白一件事：我tm会死啊，也许是十年，也许是三十年，也许是五十年……谁知道呢！谁知道呢，这个世界上会没有我任何存在过的痕迹，那一刻我顿悟了。什么面子，什么压力，全不重要了。最重要的就是开心，想要做的就马上去做，我们要做的，少让自己留遗憾。,243,548,7,0,0
【合集】优斯迪吧USDB,264136349,汐儿瓦娜斯,介绍：优斯迪吧USDB电台音乐薛东辉（薛优雅），李羽（李斯文），彪马苏（彪迪吧），李厚辰，camel等人组成的一档“伟大的，文明的，科学的电台！”post-rock；后摇,1620,51234,1112,25,108
嗨味（超重低音 BOSE音响专属 ）,566797630,GAI伟-,介绍：让低音成为你释放压力的选择,376,18936,120,12,0
Zero酒吧,399013470,zukra501,介绍：dj,56,51,0,1,0
beats 蒸汽波 jazzhiphop 80年代,359293284,realpurple,介绍：这是自己感动的世界.,1536,102012,1874,50,21
“我可以牽你的手嗎”,119853076,一觉就睡醒了,介绍：“长颈鹿去动物园看长颈鹿”,198,206327,3286,42,51
跟有情人做點快樂事,339628336,-迷妹-,无,131,608868,16045,466,206
土嗨(BGM)带你上高速，请乘客带好安全带,1722636236,不再是海棠,介绍：土是真的土 嗨是真的嗨 喜欢收藏 不喜欢勿喷 谢谢,182,430943,2357,25,16
Bounce土嗨~土到极致就是潮,1833476813,Shaw_Official,无,919,2441938,19859,787,74
没有哈姆雷特（后摇国产的）,1508525719,阿曼有点无聊,介绍：No die,32,401,10,1,0
【社会语录】江湖不是打打杀杀 是人情世故,1609443493,A我在人间贩卖黄昏,介绍：“如何优雅老去？”“勤力洗洁护理肉身，不烟不酒勿沾毒药，睡眠充足，还有，不可吃饱，常带三分饥。”“恋爱呢？”“多享受异性陪伴，勿奢望对方仆心仆命。”——《代寻失去时光》,283,328077,2351,23,2
【新疆舞曲】迈开脚步跳舞吧跳舞吧,4929886127,木七七-muqiqi,介绍：长街灯火阑珊处，心碎之人随风舞。愿你余生有人共舞，也能独自起舞。,39,1464,3,0,0
治愈后摇：白鹿踏至噩梦消散,1548006936,鱼饼好吃耶,介绍：林深可见白鹿阳光穿雾透射让噩梦都消散世上所有难熬的东西都要靠自己抗住才是人生的成长,42,327392,5495,162,95
『助眠』睡于明亮的白昼,126014458,程乌青,介绍：一些幽柔音乐精选集（包括后摇，新古典，现代纯音乐）,97,160850,1732,98,28
给排骨的助眠歌单（也是个人分享的合集,313938362,碳酸镁咀嚼片,介绍：大概就是不定时更新,37,67,1,1,0
听到最后让你肾上腺素飙升300%,3580358964,DJ-Rlerms,介绍：上天不会给你刀刻般的肌肉（God won't give you a knife like muscle.）,105,502,2,0,1
